candidate_id	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
g2_m0_g1_x5_mid_32_68_ema_strict	MGC	4	2026-04-20	2026-05-14	-128.36	5	40.0000	-2.6648	365.36
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	2	2026-03-03	2026-03-26	-180.82	3	33.3333	-4.4564	564.57
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	3	2026-03-27	2026-04-19	202.21	2	50.0000	8.6072	98.50
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	4	2026-04-20	2026-05-14	20.54	2	50.0000	1.7727	67.50
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MES	0	2026-01-14	2026-02-06	0.62	4	50.0000	0.0331	95.62
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MES	3	2026-03-27	2026-04-19	-25.00	2	50.0000	-2.4670	73.12
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g3_m3_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	4	2026-04-20	2026-05-14	-128.36	5	40.0000	-2.6648	365.36
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MNQ	2	2026-03-03	2026-03-26	-180.82	3	33.3333	-4.4564	564.57
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MNQ	4	2026-04-20	2026-05-14	20.54	2	50.0000	1.7727	67.50
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MES	0	2026-01-14	2026-02-06	10.62	4	50.0000	0.5950	105.62
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g3_x5_g1_x5_mid_32_68_ema_strict_mid_32_68	MGC	4	2026-04-20	2026-05-14	-128.36	5	40.0000	-2.6648	365.36
tight_30_70	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
tight_30_70	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
tight_30_70	MNQ	2	2026-03-03	2026-03-26	0.00	0	0.0000	0.0000	0.00
tight_30_70	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
tight_30_70	MNQ	4	2026-04-20	2026-05-14	-54.75	1	0.0000	0.0000	67.50
tight_30_70	MES	0	2026-01-14	2026-02-06	-98.39	3	33.3333	-6.8066	185.89
tight_30_70	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
tight_30_70	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
tight_30_70	MES	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
tight_30_70	MES	4	2026-04-20	2026-05-14	0.00	0	0.0000	0.0000	0.00
tight_30_70	MGC	0	2026-01-14	2026-02-06	-137.50	1	0.0000	0.0000	182.50
tight_30_70	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
tight_30_70	MGC	2	2026-03-03	2026-03-26	380.43	2	100.0000	229.9448	72.00
tight_30_70	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
tight_30_70	MGC	4	2026-04-20	2026-05-14	-285.86	4	25.0000	-6.8369	463.86
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MNQ	2	2026-03-03	2026-03-26	0.00	0	0.0000	0.0000	0.00
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MNQ	4	2026-04-20	2026-05-14	20.54	2	50.0000	1.7727	67.50
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MES	0	2026-01-14	2026-02-06	-67.50	3	33.3333	-5.8427	128.75
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MES	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MGC	0	2026-01-14	2026-02-06	-137.50	1	0.0000	0.0000	182.50
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MES	4	2026-04-20	2026-05-14	0.00	0	0.0000	0.0000	0.00
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MGC	2	2026-03-03	2026-03-26	220.79	3	66.6667	5.7778	192.64
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g3_x1_g1_x5_mid_32_68_ema_strict_tight_30_70	MGC	4	2026-04-20	2026-05-14	-172.36	3	33.3333	-4.5532	350.36
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	2	2026-03-03	2026-03-26	-105.07	2	50.0000	-2.7520	488.82
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	3	2026-03-27	2026-04-19	202.21	2	50.0000	8.6072	98.50
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	4	2026-04-20	2026-05-14	-54.75	1	0.0000	0.0000	67.50
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MES	0	2026-01-14	2026-02-06	-77.50	3	33.3333	-6.2166	118.75
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MES	3	2026-03-27	2026-04-19	-69.38	1	0.0000	0.0000	69.38
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MES	4	2026-04-20	2026-05-14	-34.38	1	0.0000	0.0000	41.25
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g3_x2_tight_30_70_g2_m0_g1_x5_mid_32_68_ema_strict	MGC	4	2026-04-20	2026-05-14	-172.36	3	33.3333	-4.5532	350.36
g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	0	2026-01-14	2026-02-06	106.09	5	40.0000	2.5538	238.07
g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	1	2026-02-07	2026-03-02	186.50	2	100.0000	83.7383	100.00
g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	2	2026-03-03	2026-03-26	-253.02	6	33.3333	-3.8670	684.68
g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	3	2026-03-27	2026-04-19	169.21	10	50.0000	1.8151	342.75
g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	4	2026-04-20	2026-05-14	-294.25	6	33.3333	-6.1882	460.04
g2_m4_g1_x3_ema_strict_baseline_hook	MES	0	2026-01-14	2026-02-06	47.10	8	50.0000	1.6905	105.62
g2_m4_g1_x3_ema_strict_baseline_hook	MES	1	2026-02-07	2026-03-02	-54.78	3	33.3333	-4.9849	103.39
g2_m4_g1_x3_ema_strict_baseline_hook	MES	2	2026-03-03	2026-03-26	342.63	10	60.0000	5.5268	329.38
g2_m4_g1_x3_ema_strict_baseline_hook	MES	3	2026-03-27	2026-04-19	-35.80	5	60.0000	-1.2895	172.68
g2_m4_g1_x3_ema_strict_baseline_hook	MGC	0	2026-01-14	2026-02-06	552.04	4	50.0000	4.0295	516.00
g2_m4_g1_x3_ema_strict_baseline_hook	MES	4	2026-04-20	2026-05-14	16.25	6	50.0000	1.0341	82.50
g2_m4_g1_x3_ema_strict_baseline_hook	MGC	1	2026-02-07	2026-03-02	30.79	5	60.0000	0.6577	195.71
g2_m4_g1_x3_ema_strict_baseline_hook	MGC	2	2026-03-03	2026-03-26	-96.39	7	57.1429	-0.6151	1307.50
g2_m4_g1_x3_ema_strict_baseline_hook	MGC	3	2026-03-27	2026-04-19	-248.50	3	33.3333	-6.7681	500.00
g2_m4_g1_x3_ema_strict_baseline_hook	MGC	4	2026-04-20	2026-05-14	-714.00	10	40.0000	-7.6556	912.50
mid_32_68	MNQ	0	2026-01-14	2026-02-06	31.62	2	50.0000	2.2309	70.00
mid_32_68	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
mid_32_68	MNQ	2	2026-03-03	2026-03-26	-109.82	3	33.3333	-3.1935	413.57
mid_32_68	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
mid_32_68	MNQ	4	2026-04-20	2026-05-14	-21.71	3	33.3333	-1.6016	111.75
mid_32_68	MES	0	2026-01-14	2026-02-06	10.62	4	50.0000	0.5950	105.62
mid_32_68	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
mid_32_68	MES	2	2026-03-03	2026-03-26	-30.45	3	33.3333	-2.3015	79.20
mid_32_68	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
mid_32_68	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
mid_32_68	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
mid_32_68	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
mid_32_68	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
mid_32_68	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
mid_32_68	MGC	4	2026-04-20	2026-05-14	-241.86	6	33.3333	-4.5253	419.86
g1_x2_mid_32_68_baseline_hook	MNQ	0	2026-01-14	2026-02-06	31.62	2	50.0000	2.2309	70.00
g1_x2_mid_32_68_baseline_hook	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g1_x2_mid_32_68_baseline_hook	MNQ	2	2026-03-03	2026-03-26	-109.82	3	33.3333	-3.1935	413.57
g1_x2_mid_32_68_baseline_hook	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
g1_x2_mid_32_68_baseline_hook	MNQ	4	2026-04-20	2026-05-14	-21.71	3	33.3333	-1.6016	111.75
g1_x2_mid_32_68_baseline_hook	MES	0	2026-01-14	2026-02-06	10.62	4	50.0000	0.5950	105.62
g1_x2_mid_32_68_baseline_hook	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g1_x2_mid_32_68_baseline_hook	MES	2	2026-03-03	2026-03-26	-30.45	3	33.3333	-2.3015	79.20
g1_x2_mid_32_68_baseline_hook	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
g1_x2_mid_32_68_baseline_hook	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g1_x2_mid_32_68_baseline_hook	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
g1_x2_mid_32_68_baseline_hook	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g1_x2_mid_32_68_baseline_hook	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g1_x2_mid_32_68_baseline_hook	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g1_x2_mid_32_68_baseline_hook	MGC	4	2026-04-20	2026-05-14	-241.86	6	33.3333	-4.5253	419.86
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	0	2026-01-14	2026-02-06	74.10	5	40.0000	1.9207	238.07
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	1	2026-02-07	2026-03-02	186.50	2	100.0000	83.7383	100.00
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	2	2026-03-03	2026-03-26	-270.40	6	33.3333	-4.2339	684.68
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	3	2026-03-27	2026-04-19	145.39	10	50.0000	1.5998	342.75
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MNQ	4	2026-04-20	2026-05-14	-302.30	6	33.3333	-6.4373	460.04
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MES	1	2026-02-07	2026-03-02	-60.20	3	33.3333	-5.7889	103.39
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MES	0	2026-01-14	2026-02-06	37.39	8	50.0000	1.3640	105.62
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MES	2	2026-03-03	2026-03-26	305.96	10	60.0000	5.1151	308.97
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MES	3	2026-03-27	2026-04-19	-35.80	5	60.0000	-1.2895	172.68
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MGC	0	2026-01-14	2026-02-06	458.73	4	50.0000	3.6508	516.00
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MES	4	2026-04-20	2026-05-14	14.89	6	50.0000	0.9579	82.50
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MGC	1	2026-02-07	2026-03-02	30.79	5	60.0000	0.6577	195.71
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MGC	2	2026-03-03	2026-03-26	-149.02	7	57.1429	-0.9702	1307.50
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MGC	3	2026-03-27	2026-04-19	-241.54	3	33.3333	-6.4451	500.00
g3_m4_g2_m4_g1_x3_ema_strict_baseline_hook	MGC	4	2026-04-20	2026-05-14	-714.00	10	40.0000	-7.6556	912.50
g3_m0_mid_32_68	MNQ	0	2026-01-14	2026-02-06	31.62	2	50.0000	2.2309	70.00
g3_m0_mid_32_68	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g3_m0_mid_32_68	MNQ	2	2026-03-03	2026-03-26	-109.82	3	33.3333	-3.1935	413.57
g3_m0_mid_32_68	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
g3_m0_mid_32_68	MNQ	4	2026-04-20	2026-05-14	-21.71	3	33.3333	-1.6016	111.75
g3_m0_mid_32_68	MES	0	2026-01-14	2026-02-06	-67.50	3	33.3333	-5.8427	128.75
g3_m0_mid_32_68	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g3_m0_mid_32_68	MES	2	2026-03-03	2026-03-26	-30.45	3	33.3333	-2.3015	79.20
g3_m0_mid_32_68	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
g3_m0_mid_32_68	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g3_m0_mid_32_68	MES	4	2026-04-20	2026-05-14	-34.38	1	0.0000	0.0000	41.25
g3_m0_mid_32_68	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g3_m0_mid_32_68	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g3_m0_mid_32_68	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g3_m0_mid_32_68	MGC	4	2026-04-20	2026-05-14	-241.86	6	33.3333	-4.5253	419.86
